Nextstrain_clade,date
20H/501Y.V2,2021-02-02
20A,2020-12-23
20E (EU1),2021-01-18
20A,2020-11-24
20G,2021-01-21
20G,2021-01-21
20G,2021-01-21
20G,2021-01-21
?,2020-12-24
20A,2020-05-05
20A,2021-01-15
20A,2020-05-27
20B,2020-11-30
20A,2020-04-01
20A,2020-04-10
20E (EU1),2021-03-01
20A,2020-07-30
20A,2020-06-20
20B,2021-01-13
20E (EU1),2020-11-24
20H/501Y.V2,2021-02-01
20A.EU2,2021-02-10
20A.EU2,2021-02-05
20A,2020-04-25
20B,2021-01-18
20I/501Y.V1,2021-01-30
20I/501Y.V1,2020-12-28
20I/501Y.V1,2020-12-25
20C,2020-04-09
20E (EU1),2021-01-11
20E (EU1),2021-01-11
20A,2021-01-04
20E (EU1),2021-01-04
20A,2020-04-07
20B,2020-07-21
20A,2021-01-05
20A.EU2,2020-12-25
20A,2020-11-14
20E (EU1),2020-12-08
19B,2020-03-18
20A,2020-03-27
19A,2020-01-08
20A,2021-01-27
20A,2021-01-05
20B,2021-02-01
20B,2020-12-30
20B,2021-02-01
20I/501Y.V1,2020-12-25
20A,2020-02-29
20A,2020-12-17
20I/501Y.V1,2021-01-04
20C,2020-12-02
19A,2020-03-09
20B,2020-12-27
20D,2021-03-01
20E (EU1),2021-01-21
20B,2020-06-09
20B,2021-01-21
20A,2020-05-13
20A,2020-12-03
20A.EU2,2021-01-29
20B,2021-01-21
20A,2021-01-04
19A,2020-03-05
20B,2020-11-18
20A,2020-11-21
20D,2020-10-22
20E (EU1),2021-01-11
20D,2020-11-16
20D,2020-11-21
20A,2020-12-03
20B,2020-02-28
20A,2020-04-06
20E (EU1),2021-02-10
20A,2020-03-22
20I/501Y.V1,2021-02-15
20B,2020-02-25
20B,2020-11-12
20B,2020-10-28
20B,2020-04-01
20D,2020-10-06
20I/501Y.V1,2020-12-25
20A,2021-01-09
20B,2020-11-04
20I/501Y.V1,2021-01-11
19A,2020-01-31
20A,2020-06-22
20A,2020-11-28
20I/501Y.V1,2021-01-14
20A,2020-03-15
20A,2021-02-10
20C,2020-09-21
20B,2020-09-08
20A,2020-06-09
20A,2020-11-25
20B,2020-11-24
20B,2021-01-03
20E (EU1),2021-01-21
20B,2021-01-03
20B,2021-01-02
20B,2021-01-03
20B,2020-11-11
20A,2020-05-01
19A,2020-03-10
20A,2020-04-25
20B,2020-08-20
20B,2020-07-16
20A,2021-01-09
20B,2020-07-15
20B,2020-09-14
20B,2020-09-02
20A,2020-05-10
20A,2020-03-31
20I/501Y.V1,2021-02-24
20B,2020-05-01
20B,2021-01-03
20I/501Y.V1,2020-12-21
20B,2021-01-04
20B,2021-01-04
20B,2020-11-19
19A,2021-01-28
20A,2020-12-22
20A,2020-11-16
20A,2020-02-25
20A,2020-11-24
19A,2020-01-29
19A,2020-02-14
20A,2020-02-25
19A,2020-02-16
20B,2021-02-08
20B,2020-05-09
20E (EU1),2020-11-23
20A,2020-12-16
20A,2020-04-26
20A,2020-12-03
20A,2020-12-02
20A,2020-11-19
20B,2020-12-31
20A,2020-11-19
20E (EU1),2020-12-27
20A,2020-11-19
20I/501Y.V1,2020-12-31
20B,2020-04-30
20A,2020-12-26
20A,2021-01-03
19A,2020-01-22
20A,2021-02-10
19A,2020-01-22
19A,2020-01-13
20A.EU2,2020-11-17
20D,2020-11-16
20B,2020-11-03
20E (EU1),2020-10-26
20E (EU1),2020-10-26
20C,2020-10-23
20A,2020-08-13
20B,2020-08-31
20I/501Y.V1,2021-01-08
20B,2020-09-16
20A,2021-01-04
19A,2020-03-14
20B,2020-11-14
20A,2020-11-20
20A,2021-01-04
20A,2020-03-24
20B,2020-09-08
20A,2020-12-31
20A,2020-10-30
20A,2020-04-24
20C,2020-08-10
20I/501Y.V1,2021-02-11
20B,2020-12-19
20A,2020-12-30
20A,2020-11-24
20B,2020-08-16
20A,2020-11-23
20A,2020-12-06
20A,2020-12-29
20A,2020-12-03
20A,2020-11-16
20B,2021-01-13
20E (EU1),2020-12-18
20B,2020-10-07
20C,2020-05-18
20A,2021-01-24
20B,2020-10-08
20C,2020-09-07
20I/501Y.V1,2020-12-28
20A,2021-02-12
20A,2020-03-29
20I/501Y.V1,2021-01-19
20I/501Y.V1,2021-02-17
20A,2021-01-04
20G,2021-02-17
20B,2020-08-11
20A,2020-11-13
20A,2021-01-05
20E (EU1),2021-02-16
20E (EU1),2021-02-08
20I/501Y.V1,2021-02-08
20A,2020-04-24
20A,2020-04-19
